order_id,date,region,product,quantity,unit_price,unit_cost,refund_amount
1001,2026-01-05,East,Keyboard,3,299,180,0
1002,2026-01-08,North,Mouse,5,129,70,0
1003,2026-01-12,South,Monitor,2,1299,910,0
1004,2026-02-03,East,Mouse,8,129,70,129
1005,2026-02-11,West,Keyboard,4,299,180,0
1006,2026-02-18,North,Monitor,1,1299,910,0
1007,2026-03-02,South,Keyboard,6,299,180,299
1008,2026-03-09,West,Mouse,10,129,70,0
1009,2026-03-16,East,Monitor,3,1299,910,1299
1010,2026-04-04,North,Keyboard,5,299,180,0
1011,2026-04-13,South,Mouse,7,129,70,129
1012,2026-04-20,West,Monitor,2,1299,910,0
