order_id,date,region,product,channel,customer_segment,customer_id,quantity,unit_price,unit_cost,refund_amount
21138,2025-01-01,East,Webcam,Partner,Enterprise,C0119,6,407.58,243.04,1222.74
21293,2025-01-01,South,Monitor,Online,Consumer,C0126,1,1419.76,901.42,0.0
20151,2025-01-02,North,Headset,Retail,Enterprise,C0035,4,668.74,349.95,0.0
20426,2025-01-02,Central,Dock,Online,Enterprise,C0249,3,809.66,498.75,0.0
20104,2025-01-03,South,Dock,Partner,SME,C0412,3,802.71,509.62,0.0
20618,2025-01-03,North,Webcam,Online,Enterprise,C0313,5,401.76,243.18,0.0
21184,2025-01-03,East,Office Chair,Online,Enterprise,C0100,1,1555.35,1029.39,0.0
21256,2025-01-03,Central,Keyboard,Online,SME,C0175,5,288.48,182.77,0.0
21176,2025-01-05,West,Keyboard,Partner,SME,C0214,1,275.51,182.09,0.0
20055,2025-01-06,North,Mouse,Online,Enterprise,C0092,4,113.71,69.17,0.0
20674,2025-01-06,South,Office Chair,Online,SME,C0258,2,1646.99,1110.88,0.0
20777,2025-01-06,South,Headset,Online,Consumer,C0183,2,702.14,351.9,0.0
20889,2025-01-06,East,Laptop Stand,Partner,SME,C0065,2,353.39,202.54,0.0
21193,2025-01-06,North,Keyboard,Online,Consumer,C0301,1,303.13,176.76,0.0
20064,2025-01-07,South,Mouse,Retail,Enterprise,C0308,3,126.09,66.88,0.0
20070,2025-01-08,East,Monitor,Online,Consumer,C0388,2,1381.59,937.9,0.0
20844,2025-01-08,West,Webcam,Retail,SME,C0068,4,446.57,244.03,0.0
21326,2025-01-08,West,Mouse,Online,Consumer,C0205,5,131.06,69.32,0.0
21459,2025-01-09,South,Monitor,Online,Consumer,C0359,1,1337.25,972.16,0.0
20709,2025-01-10,Central,Laptop Stand,Online,Enterprise,C0112,1,371.45,199.45,0.0
21023,2025-01-10,South,Mouse,Online,SME,C0404,1,122.8,66.21,0.0
21490,2025-01-10,West,Mouse,Retail,Consumer,C0415,1,134.0,66.92,0.0
20416,2025-01-12,North,Keyboard,Retail,Enterprise,C0100,1,275.23,175.18,0.0
20780,2025-01-12,East,Mouse,Retail,SME,C0372,2,124.81,67.06,0.0
21067,2025-01-12,South,Headset,Retail,Enterprise,C0218,3,657.91,380.86,0.0
21493,2025-01-13,East,Webcam,Online,Consumer,C0019,6,441.18,238.07,0.0
20189,2025-01-14,East,Mouse,Retail,Enterprise,C0056,4,122.83,66.6,0.0
20824,2025-01-14,South,Laptop Stand,Online,Consumer,C0343,1,383.06,192.98,0.0
21486,2025-01-14,West,Webcam,Partner,Consumer,C0042,4,432.35,245.61,0.0
20269,2025-01-15,West,Headset,Retail,SME,C0180,2,688.55,384.58,0.0
20569,2025-01-15,South,Office Chair,Online,Enterprise,C0372,3,1495.37,1065.59,0.0
20669,2025-01-15,North,Office Chair,Online,Consumer,C0057,2,1626.1,1080.1,0.0
21116,2025-01-15,North,Webcam,Partner,Consumer,C0126,1,432.44,243.59,0.0
21279,2025-01-15,West,Monitor,Online,Consumer,C0270,1,1367.2,905.46,683.6
20282,2025-01-16,West,Dock,Partner,Consumer,C0130,1,858.31,539.04,0.0
20773,2025-01-16,East,Mouse,Online,Enterprise,C0066,2,115.66,68.58,0.0
21275,2025-01-16,East,Office Chair,Partner,SME,C0207,3,1531.96,1114.49,0.0
20517,2025-01-17,North,Office Chair,Retail,Consumer,C0155,1,1747.03,1121.94,0.0
20741,2025-01-17,East,Keyboard,Partner,Consumer,C0037,1,292.2,172.44,0.0
21003,2025-01-17,West,Monitor,Online,Enterprise,C0343,3,1248.48,907.99,0.0
20198,2025-01-22,Central,Mouse,Online,SME,C0332,1,117.85,64.01,0.0
20232,2025-01-22,South,Keyboard,Retail,Consumer,C0361,3,301.09,170.37,0.0
20932,2025-01-22,South,Mouse,Online,Consumer,C0145,5,128.75,65.24,0.0
21225,2025-01-22,South,Monitor,Retail,SME,C0064,4,1422.9,940.68,0.0
20403,2025-01-23,Central,Keyboard,Online,Enterprise,C0255,1,265.06,183.39,0.0
20738,2025-01-23,South,Laptop Stand,Retail,Enterprise,C0043,4,382.11,191.6,0.0
20045,2025-01-24,West,Mouse,Online,Consumer,C0286,2,128.59,64.54,0.0
20103,2025-01-24,Central,Office Chair,Retail,Consumer,C0147,4,1729.8,1052.75,0.0
20631,2025-01-24,South,Keyboard,Online,SME,C0381,1,287.85,174.01,0.0
20672,2025-01-24,North,Keyboard,Partner,SME,C0084,3,272.8,182.01,0.0
20726,2025-01-24,East,Keyboard,Retail,SME,C0006,1,303.87,180.3,0.0
20791,2025-01-25,West,Mouse,Online,SME,C0083,3,121.34,64.11,0.0
20298,2025-01-27,South,Dock,Retail,SME,C0264,1,874.88,505.45,0.0
20414,2025-01-27,North,Keyboard,Partner,Consumer,C0387,3,276.12,186.59,0.0
20634,2025-01-27,North,Mouse,Online,Consumer,C0264,6,125.91,63.87,0.0
20900,2025-01-27,South,Keyboard,Online,SME,C0037,3,275.05,177.97,0.0
20933,2025-01-30,East,Office Chair,Online,Enterprise,C0167,2,1579.54,1068.95,0.0
20408,2025-02-01,West,Office Chair,Partner,Enterprise,C0358,2,1525.47,1034.62,0.0
21080,2025-02-01,East,Laptop Stand,Online,SME,C0293,4,375.59,183.12,0.0
20116,2025-02-03,North,Headset,Online,SME,C0334,2,655.28,377.54,0.0
20799,2025-02-03,East,Monitor,Online,SME,C0005,5,1332.83,934.86,0.0
21021,2025-02-03,West,Keyboard,Retail,SME,C0371,4,300.4,172.93,0.0
21364,2025-02-03,Central,Keyboard,Retail,Consumer,C0217,1,311.49,173.28,0.0
20753,2025-02-04,West,Webcam,Retail,Enterprise,C0238,1,442.18,249.93,0.0
20823,2025-02-04,Central,Laptop Stand,Partner,Consumer,C0116,3,364.4,182.63,0.0
21101,2025-02-04,West,Keyboard,Partner,Enterprise,C0300,1,265.72,171.33,0.0
20053,2025-02-05,North,Monitor,Partner,Consumer,C0386,5,1289.47,961.56,0.0
20434,2025-02-05,South,Webcam,Partner,Enterprise,C0406,3,396.97,245.13,0.0
20682,2025-02-05,East,Monitor,Retail,Consumer,C0117,6,1470.8,897.15,0.0
20721,2025-02-05,West,Laptop Stand,Online,SME,C0193,2,367.17,193.16,0.0
21492,2025-02-05,East,Mouse,Partner,SME,C0076,2,119.5,67.68,119.5
20581,2025-02-06,Central,Office Chair,Online,Enterprise,C0173,3,1579.74,1060.23,0.0
21319,2025-02-06,West,Mouse,Partner,SME,C0314,6,117.4,64.08,0.0
20290,2025-02-07,North,Webcam,Retail,SME,C0177,2,464.83,248.29,0.0
20486,2025-02-08,East,Keyboard,Partner,Consumer,C0101,1,288.31,175.43,0.0
20975,2025-02-08,South,Webcam,Online,SME,C0243,3,444.01,227.15,0.0
20048,2025-02-09,North,Office Chair,Retail,SME,C0055,3,1721.22,1021.23,0.0
20073,2025-02-09,East,Webcam,Online,Enterprise,C0238,2,403.52,229.79,0.0
20565,2025-02-09,East,Office Chair,Retail,SME,C0380,1,1739.05,1101.93,0.0
20962,2025-02-09,South,Webcam,Online,Consumer,C0304,4,454.95,240.66,0.0
21010,2025-02-09,East,Headset,Online,Enterprise,C0064,1,618.64,356.99,0.0
21052,2025-02-09,West,Monitor,Partner,Consumer,C0385,3,1298.45,896.83,0.0
21267,2025-02-09,North,Dock,Retail,Enterprise,C0049,4,841.25,501.17,0.0
20539,2025-02-10,East,Monitor,Retail,SME,C0305,1,1430.05,946.88,0.0
20771,2025-02-10,South,Headset,Partner,Consumer,C0022,1,656.48,374.66,328.24
20927,2025-02-10,Central,Webcam,Retail,Consumer,C0312,1,484.97,247.42,0.0
21112,2025-02-10,East,Laptop Stand,Partner,Consumer,C0302,5,370.59,187.06,0.0
20054,2025-02-11,East,Keyboard,Retail,Consumer,C0301,4,306.59,182.26,0.0
20068,2025-02-11,South,Headset,Retail,Enterprise,C0261,5,684.56,348.66,0.0
20790,2025-02-11,West,Monitor,Online,Enterprise,C0245,2,1254.37,961.99,0.0
21168,2025-02-11,South,Keyboard,Retail,SME,C0048,4,289.16,172.67,0.0
20415,2025-02-12,North,Mouse,Online,Enterprise,C0136,1,120.62,67.1,0.0
20167,2025-02-13,North,Headset,Retail,SME,C0334,4,706.79,366.16,0.0
20312,2025-02-13,West,Mouse,Partner,Consumer,C0227,2,118.75,66.97,0.0
20154,2025-02-14,Central,Keyboard,Partner,Consumer,C0348,5,284.94,181.54,0.0
20300,2025-02-14,West,Mouse,Online,Consumer,C0396,3,125.64,63.77,0.0
20643,2025-02-14,Central,Laptop Stand,Online,Enterprise,C0102,5,358.11,185.03,0.0
21439,2025-02-14,West,Mouse,Retail,Consumer,C0285,1,130.38,66.6,0.0
20077,2025-02-15,North,Headset,Retail,Consumer,C0102,1,733.93,377.51,0.0
20854,2025-02-15,North,Laptop Stand,Partner,SME,C0102,2,372.46,197.19,0.0
20902,2025-02-15,South,Mouse,Online,SME,C0277,1,124.83,64.65,0.0
20626,2025-02-16,Central,Office Chair,Online,Consumer,C0057,4,1660.09,1057.37,0.0
21405,2025-02-16,North,Laptop Stand,Partner,SME,C0287,1,351.64,182.98,0.0
20645,2025-02-17,West,Headset,Retail,SME,C0058,4,672.57,373.84,0.0
21496,2025-02-17,West,Keyboard,Online,SME,C0088,1,276.54,180.98,0.0
21478,2025-02-18,West,Mouse,Online,SME,C0083,1,120.83,68.7,0.0
20147,2025-02-19,East,Headset,Online,Consumer,C0186,5,686.29,369.29,0.0
21113,2025-02-19,East,Dock,Online,SME,C0007,3,841.23,513.92,0.0
20255,2025-02-20,South,Keyboard,Retail,SME,C0284,5,306.93,184.69,0.0
21177,2025-02-20,Central,Webcam,Online,Enterprise,C0140,3,427.26,234.4,0.0
21351,2025-02-20,East,Mouse,Retail,SME,C0117,3,132.39,66.81,0.0
20339,2025-02-21,West,Laptop Stand,Partner,Consumer,C0004,2,375.41,195.09,375.41
21195,2025-02-21,Central,Mouse,Online,Consumer,C0109,2,126.05,63.02,0.0
20072,2025-02-22,East,Mouse,Retail,Consumer,C0400,5,134.33,68.66,0.0
20095,2025-02-22,South,Monitor,Retail,SME,C0183,1,1431.62,970.77,0.0
20215,2025-02-22,South,Dock,Online,Consumer,C0375,2,864.07,522.11,0.0
20553,2025-02-22,East,Mouse,Partner,Consumer,C0037,2,125.51,62.45,0.0
20575,2025-02-22,Central,Headset,Partner,SME,C0084,1,629.08,354.33,0.0
20686,2025-02-22,East,Laptop Stand,Partner,Consumer,C0204,1,371.35,196.56,0.0
20750,2025-02-22,East,Mouse,Retail,Consumer,C0407,2,136.1,68.57,0.0
21289,2025-02-22,West,Keyboard,Partner,SME,C0082,2,262.87,169.17,0.0
21421,2025-02-22,East,Mouse,Partner,Consumer,C0344,6,120.12,62.8,0.0
20143,2025-02-24,Central,Laptop Stand,Retail,SME,C0322,5,408.68,186.68,0.0
20307,2025-02-24,East,Monitor,Retail,SME,C0182,1,1370.64,947.28,0.0
20825,2025-02-24,Central,Headset,Online,Consumer,C0239,5,668.11,358.38,0.0
20998,2025-02-24,West,Webcam,Online,Enterprise,C0140,1,408.5,247.5,0.0
20892,2025-02-25,Central,Office Chair,Retail,Enterprise,C0297,5,1666.99,1035.58,0.0
20526,2025-02-26,North,Webcam,Online,SME,C0058,3,423.49,240.74,317.62
20603,2025-02-26,South,Webcam,Retail,Enterprise,C0160,2,443.21,239.21,221.6
21399,2025-02-26,West,Keyboard,Partner,Enterprise,C0144,4,254.53,181.81,0.0
20012,2025-02-27,West,Headset,Retail,Consumer,C0070,1,715.23,358.79,0.0
20060,2025-02-27,South,Mouse,Partner,Enterprise,C0091,1,113.9,63.26,0.0
20506,2025-02-27,West,Headset,Retail,SME,C0066,2,672.56,372.55,0.0
20870,2025-02-27,South,Keyboard,Online,Consumer,C0238,3,294.62,171.4,0.0
21038,2025-02-27,North,Office Chair,Partner,Enterprise,C0303,1,1451.43,1078.58,0.0
20722,2025-02-28,Central,Dock,Online,Enterprise,C0404,4,825.28,521.61,0.0
20804,2025-02-28,North,Monitor,Online,SME,C0268,2,1277.12,948.2,0.0
21171,2025-02-28,West,Webcam,Retail,SME,C0156,1,449.65,241.48,0.0
21444,2025-02-28,South,Keyboard,Partner,Consumer,C0239,5,288.51,170.22,0.0
21468,2025-02-28,West,Laptop Stand,Retail,SME,C0094,4,405.6,195.59,0.0
20263,2025-03-02,East,Mouse,Online,Consumer,C0081,2,123.57,69.54,0.0
20658,2025-03-02,West,Monitor,Online,Consumer,C0097,3,1358.43,988.94,0.0
20732,2025-03-02,South,Mouse,Partner,Consumer,C0146,3,124.04,64.65,0.0
20089,2025-03-03,South,Keyboard,Online,Enterprise,C0240,3,273.69,183.82,0.0
